Time, Pelvis_Acceleration
1.50504,187869.5
1.536344,565.275
1.553747,1241.045
1.594716,187651.5
1.625802,1295.674
1.670062,11924.8
1.690908,31959.6
1.731111,883.6923
1.766839,226.6379
1.80275,200.7322
1.83052,56.85798
1.863012,56.1221
1.89216,186.7926
1.93014,73.48543
1.95806,83.08066
1.99281,82.2167
2.025804,205.8137
2.065733,57.35783
2.097706,120.3312
2.134626,144.031
2.16595,58.26381
2.199162,24.97609
2.232747,99.00102
2.264527,148.5024
2.296927,237.0648
2.331166,203.0704
2.362757,186.0865
2.398151,130.3618
2.433692,57.13128
2.470123,84.83778
2.501185,84.14274
2.536638,106.3
2.563098,174.5238
2.600589,153.5686
2.631046,168.8596
2.666334,188.2613
2.700877,124.3796
2.736529,128.8522
2.77033,100.994
2.806387,240.1984
2.839471,150.1763
2.877653,223.8658
2.911422,250.0612
2.946938,233.8896
2.977929,157.3041
3.014647,155.1831
3.050416,104.4589
3.082414,194.1723
3.112685,455.6479
3.14488,580.2581
3.179529,975.4597
3.213739,998.4442
3.244714,1353.39
3.279222,1320.206
3.310216,1194.102
3.342746,1379.083
3.378157,1832.13
3.410788,1339.575
3.445691,1793.995
3.478946,1727.34
3.514533,1380.825
3.546054,1327.155
3.581457,1211.79
3.613534,913.6569
3.651807,794.093
3.684927,611.9384
3.715176,429.2663
3.747881,751.0954
3.783113,632.3635
3.81376,516.7267
3.855159,611.6973
3.87806,581.9421
3.912611,468.9284
3.949348,451.5452
3.985799,449.9834
4.019648,292.1626
4.05343,535.1111
4.084665,349.3175
4.120421,466.1656
4.151841,446.6728
4.187464,870.9631
4.219724,486.1734
4.257702,573.4075
4.286107,653.1768
4.321071,779.8782
4.349081,747.9376
4.384329,671.3524
4.421647,710.4667
4.453145,800.375
4.485907,655.2782
4.517342,973.8719
4.556408,679.1
4.589903,664.0515
4.622166,667.9266
4.658323,480.6275
4.692599,468.1538
4.728683,630.7689
4.761454,324.9278
4.794768,503.2723
4.827421,261.7126
4.864605,149.2608
4.897431,350.7701
4.9309,285.3557
4.962714,365.3942
4.998647,383.8477
5.030107,233.4636
5.064409,323.8406
5.096447,377.0007
5.128448,245.532
5.161308,119.1878
5.194225,113.0195
5.23107,127.1282
5.268715,187.9184
5.296081,373.6487
5.330471,319.1952
5.363462,400.6382
5.40153,218.5587
5.430341,277.9968
5.463287,316.7309
5.498091,384.0414
5.533383,285.5916
5.566521,203.5964
5.603889,145.742
5.635911,82.99134
5.663116,58.41204
5.701914,35.22959
5.733387,104.7765
5.765009,165.4849
5.799568,204.9666
5.831427,260.4788
5.865765,228.7451
5.896794,179.2412
5.932235,153.4073
5.965713,152.8292
5.999713,332.0392
6.032424,400.2745
6.067657,575.0074
6.099036,400.2773
6.136111,214.3159
6.171978,137.421
6.204519,156.2575
6.236707,134.6927
6.271898,122.0623
6.307307,146.2297
6.342613,190.9673
6.377769,127.752
6.414872,93.51666
6.45314,60.55109
6.492623,7.643295
6.521217,44.75336
6.55278,49.01894
6.589217,55.55871
6.626886,75.66109
6.659685,66.06178
6.694201,58.69358
6.725458,87.38852
6.75803,213.0256
6.791306,157.7483
6.827363,172.6607
6.860328,120.3106
6.892272,65.89515
6.927761,86.35159
6.961117,82.04963
6.999062,62.65108
7.030379,108.1655
7.063435,126.9235
7.09792,79.99902
7.128648,195.7692
7.165918,286.5636
7.201575,180.5755
7.234078,54.58769
7.267439,109.702
7.30303,203.5165
7.335096,82.97662
7.371006,100.1417
7.406827,129.7443
7.441122,126.0074
7.475825,201.4195
7.511358,187.492
7.544881,97.25719
7.581915,59.19793
7.618244,92.5918
7.654403,181.7222
7.690279,253.7002
7.722167,185.9959
7.757989,286.0742
7.794088,194.4957
7.828887,174.046
7.861019,254.4772
7.897828,160.73
7.931393,158.3456
7.966238,171.5866
7.998507,135.9651
8.031816,215.4556
8.067948,213.2442
8.102429,196.3578
8.134361,171.949
8.169208,164.126
8.202638,155.7206
8.234674,191.1445
8.27011,177.8334
8.306341,204.201
8.338902,176.234
8.371291,199.2249
8.403549,190.6745
8.440043,149.6984
8.47192,215.174
8.507734,227.3601
8.54018,230.2852
8.580856,408.8105
8.606754,497.3546
8.640844,773.8384
8.677922,617.9584
8.709458,615.2762
8.741909,929.1724
8.778449,864.9829
8.814566,689.5987
8.850333,873.7444
8.883898,871.4471
8.919714,1144.743
8.955318,1084.825
8.986584,1522.237
9.018457,1070.869
9.054518,1064.35
9.092321,1073.822
9.124497,595.5786
9.160652,577.3931
9.196793,354.5267
9.231955,310.376
9.264508,287.2609
9.305629,268.5875
9.338034,282.694
9.377733,552.1959
9.41039,338.7737
9.445821,363.9303
9.48117,552.3774
9.516063,327.7289
9.548945,112.6534
9.585188,133.1412
9.616914,80.33739
9.652282,108.0194
9.687609,192.4038
9.724254,453.3546
9.759755,16.83752
9.789574,476.3039
9.825217,728.7704
9.862797,430.1173
9.890396,646.0952
9.925343,1388.714
9.962103,986.7119
9.996546,1048.545
10.03042,837.533
10.06721,1010.297
10.09803,858.4538
10.13323,1789.636
10.16539,1147.46
10.20196,1085.925
10.23393,724.9433
10.26677,804.2397
10.302,897.3486
10.33659,661.9044
10.36825,676.1191
10.40073,614.1561
10.43485,472.7505
10.46677,650.5704
10.50285,638.7142
10.53932,439.9956
10.56759,544.5078
10.60214,653.1821
10.63823,357.9136
10.67084,506.7533
10.70253,546.2361
10.73447,459.5164
10.76969,262.1731
10.80246,281.6326
10.83547,224.9281
10.86823,292.4896
10.90223,177.1442
10.93581,153.7819
10.97163,100.5823
11.00445,65.84895
11.0358,87.04109
11.06726,125.8259
11.10086,152.0462
11.13691,182.1198
11.16946,211.1117
11.20202,101.6585
11.23534,27.1984
11.26714,74.21117
11.29912,104.5647
11.33573,119.4814
11.36849,67.17914
11.40331,88.72473
11.43489,44.82949
11.46721,25.75086
11.50043,57.42089
11.53296,73.95091
11.56502,109.591
11.6018,115.5506
11.63521,114.961
11.66653,177.0569
11.70225,55.20372
11.7343,116.6599
11.77205,107.7045
11.80022,187.6371
11.83644,252.1175
11.86888,208.8268
11.90168,146.2873
11.93469,103.9903
11.96663,65.87833
11.99945,124.1966
12.03461,99.20759
12.06953,164.115
12.1021,120.4964
12.13721,153.5898
12.16864,181.5665
12.20041,393.2014
12.23272,254.3849
12.26457,203.3347
12.30231,157.3302
12.33715,160.5817
12.37287,174.7257
12.40598,289.5664
12.44184,148.0916
12.47759,109.6555
12.50935,67.94871
12.54068,53.70072
12.5807,81.5262
12.61509,125.3092
12.65102,64.4739
12.68062,76.0513
12.71468,31.68423
12.75219,22.07486
12.78899,54.97549
12.82606,44.70595
12.85867,81.07489
12.89363,99.83606
12.92839,82.43426
12.96105,83.6265
12.99606,173.8365
13.03269,85.54588
13.06991,156.6685
13.10131,122.2266
13.13727,111.4175
13.17013,95.63988
13.20632,94.73004
13.23573,36.90639
13.27192,28.00405
13.30562,83.59623
13.33922,56.40103
13.37295,36.5503
13.40671,64.45699
13.43851,43.59087
13.46758,74.95809
13.50691,35.34943
13.53896,59.12842
13.57178,43.25222
13.60476,114.1904
13.64073,105.1883
13.67714,123.5864
13.70732,83.9477
13.74188,65.20029
13.78078,48.21152
13.81378,114.8606
13.84774,184.2946
13.88325,130.6124
13.91567,139.8011
13.94834,169.2083
13.98483,144.0337
14.02019,162.2488
14.05542,146.0564
14.08875,183.1255
14.12462,125.7258
14.15798,115.5441
14.1892,398.1134
14.22526,241.2179
14.26087,208.0677
14.29628,179.0873
14.32513,58.81554
14.36231,344.4267
14.39546,402.0666
14.42864,403.4619
14.46643,585.0693
14.50481,64.97673
14.53022,785.2795
14.56343,939.5401
14.60013,856.7328
14.63641,653.8688
14.6676,840.2158
14.70423,1103.201
14.74207,498.0856
14.77656,618.8555
14.81421,440.1884
14.84681,371.8975
14.88603,261.7974
14.91851,234.5322
14.95566,259.0275
14.99181,183.9844
15.02774,149.177
15.06196,194.1552
15.0959,198.9249
15.1333,306.5676
15.16558,755.1201
15.19862,620.4773
15.23563,1289.226
15.26984,1348.427
15.30545,1545.816
15.34143,1636.664
15.37942,1118.924
15.41149,1349.806
15.45073,740.5746
15.49079,461.4423
15.52648,183.1133
15.56392,96.3483
15.60278,87.87263
15.63979,34.91777
15.67235,32.99973
15.71234,103.3602
15.74775,96.25227
15.78468,59.50344
15.82269,65.77438
15.85556,79.9391
15.89816,151.8071
15.92947,354.826
15.96351,304.7111
16.00144,426.076
16.03782,301.3166
16.0792,162.7204
16.11243,144.7424
16.14848,206.8743
16.18604,354.5165
16.22135,401.9221
16.25937,535.7511
16.29473,478.0262
16.32807,721.0822
16.36395,1210.003
16.39456,1424.543
16.43008,1430.928
16.46973,1405.006
16.50103,1460.858
16.53407,1590.932
16.56527,897.4332
16.60163,839.0137
16.63111,536.4321
16.67001,47.78446
16.69552,418.8168
16.7258,417.6267
16.75912,187.3173
16.79141,458.0883
16.82597,539.6041
16.85799,373.5615
16.89598,321.7285
16.93141,204.539
16.9624,205.0653
16.99501,242.1831
17.02619,388.3943
17.06544,258.9472
17.10083,353.0403
17.13303,246.1922
17.16581,213.6711
17.19875,241.731
17.23265,272.0518
17.26359,474.8306
17.30341,337.1656
17.33463,293.3598
17.36739,385.999
17.39946,583.0964
17.43183,434.9486
17.46589,573.2454
17.50274,412.2632
17.53643,494.0424
17.56826,355.3979
17.60041,425.6413
17.63418,486.0008
17.66976,275.3038
17.70392,260.0712
17.73723,251.382
17.76527,396.7417
17.80255,325.78
17.83477,410.6934
17.86619,373.6784
17.8942,387.4238
17.93293,311.916
17.96564,307.4945
17.99827,637.8188
18.03183,708.2681
18.06733,1005.355
18.09868,1004.945
18.13072,1079.583
18.16549,1052.574
18.19843,628.7625
18.23043,736.4908
18.26702,684.3494
18.2993,572.1647
18.33489,369.1149
18.36587,378.4438
18.40099,397.2914
18.43283,355.9415
18.4682,347.572
18.5,135.5439
18.53201,53.92145
18.56718,80.34307
18.60141,97.56268
18.63199,179.8544
18.66506,316.8742
18.69833,156.0916
18.74112,12.89747
18.76039,87.64503
18.79517,62.16139
18.82638,80.31556
18.86209,120.7065
18.89906,97.09709
18.92785,191.379
18.96461,172.83
18.99188,356.3279
19.02887,90.07697
19.06634,104.4682
19.09498,149.3462
19.13222,160.1601
19.16409,57.71937
19.20087,98.81763
19.23401,79.11475
19.26575,55.19709
19.29973,232.0127
19.33069,115.8871
19.36525,84.87627
19.40137,120.5508
19.4294,92.56066
19.46621,164.6848
19.49885,137.9561
19.53439,123.8949
19.56777,63.9002
19.60051,46.95073
19.63378,174.6854
19.6654,234.7166
19.69747,234.8633
19.73384,276.507
19.76135,145.9347
19.79255,255.2655
19.82531,229.6914
19.86273,163.7508
19.90002,233.6415
19.93526,432.8264
19.96845,257.3761
20.00019,142.1495
20.03476,179.0927
20.07142,125.7118
20.10197,239.6849
20.13416,195.3821
20.16954,134.0671
20.19666,136.858
20.233,33.35095
20.26977,98.43612
20.30245,237.4725
20.33454,261.4642
20.367,239.8876
20.40422,77.5185
20.43289,80.8269
20.46975,101.8227
20.50203,95.91885
20.53446,132.1263
20.56793,70.86587
20.60231,97.16084
20.63417,131.9886
20.67096,79.23679
20.70271,42.06727
20.73504,79.43156
20.76754,93.33342
20.80153,316.9041
20.83519,307.5559
20.87832,472.1131
20.90559,302.7049
20.93461,159.0333
20.9689,180.3998
21.0055,464.1476
21.03444,328.4375
21.06681,360.4683
21.10352,245.607
21.13561,105.4441
21.16684,30.16704
21.20257,47.46186
21.23428,53.7168
21.27051,34.64883
21.30342,29.63004
21.33944,5.913841
21.37534,5.692252
21.40666,3.692871
21.43823,247.7195
21.4778,218.1772
21.50982,205.2962
21.54298,384.4796
21.57918,245.4829
21.61122,468.6743
21.6451,437.4002
21.67835,218.2249
21.71781,139.1718
21.74867,125.7872
21.78358,297.1211
21.81466,237.0125
21.84554,288.2373
21.87815,194.1796
21.91063,251.8884
21.94374,278.0074
21.98317,86.21391
22.01393,383.0369
22.05076,258.7603
22.07977,236.0509
22.11655,78.02604
22.14651,93.66296
22.18431,64.71947
22.21559,76.75477
22.25128,72.87428
22.28345,81.01167
22.31911,115.2968
22.352,101.2741
22.38784,161.1536
22.42125,153.7927
22.45245,74.84914
22.49174,62.27327
22.52316,100.4881
22.55988,131.941
22.59148,164.6073
22.62365,212.0296
22.65607,120.319
22.69102,90.44987
22.72743,64.32957
22.7602,22.71511
22.79361,131.7013
22.82673,67.59415
22.863,78.61917
22.9052,6.34624
22.92875,62.75003
22.9592,62.76682
22.99756,62.56871
23.0292,28.91333
23.06507,10.31869
23.09721,134.1891
23.13076,114.5836
23.1622,203.9017
23.19677,126.5041
23.22911,129.0544
23.26004,86.90014
23.29649,104.4589
23.33195,212.423
23.3658,171.1465
23.40193,255.5315
23.43512,305.5005
23.46714,173.0885
23.50297,198.8223
23.53825,183.2225
23.56954,283.0542
23.60176,169.2995
23.63859,138.3912
23.67419,191.3934
23.70642,151.568
23.73864,94.95226
23.76963,77.92588
23.8035,237.6329
23.83579,113.1289
23.87217,143.6043
23.90419,123.5665
23.93192,234.3636
23.96688,201.9627
23.99823,109.5854
24.03392,11.33559
24.06973,75.31376
24.10116,163.4938
24.13287,262.8853
24.16474,174.0173
24.19723,147.9357
24.23751,136.1901
24.2689,103.3033
24.30637,48.13565
24.34076,53.94386
24.3736,70.36182
24.40622,61.34516
24.43934,40.3648
24.46807,99.12602
24.50415,130.4575
24.53293,53.18609
24.5687,43.4427
24.60263,48.04125
24.63412,82.91999
24.66947,85.12618
24.70038,77.68502
24.73636,90.5506
24.76955,91.96593
24.80172,103.0215
24.83453,223.5657
24.87064,263.0144
24.90259,353.5339
24.93627,42.14775
24.9682,154.0744
25.00316,225.0734
25.03204,276.3237
25.0636,166.7957
25.09865,154.0801
25.1307,230.0457
25.16734,159.0863
25.20167,134.7056
25.23398,141.0827
25.2657,167.6039
25.29856,318.3849
25.33288,319.5305
25.36786,184.4254
25.40072,104.2027
25.43556,329.1408
25.46859,302.2672
25.50468,460.7267
25.53716,491.0449
25.56549,310.9391
25.60216,331.4573
25.63551,349.5451
25.66616,869.9158
25.70253,409.974
25.73324,191.3245
25.76621,144.2551
25.79729,123.7205
25.835,133.7999
25.86853,113.9794
25.90062,155.2799
25.92925,195.6379
25.97086,221.9019
25.99879,211.9768
26.03172,305.445
26.0675,190.4616
26.09846,239.4944
26.13473,236.4615
26.16717,121.437
26.19897,251.5282
26.23623,359.835
26.27304,373.1167
26.30436,336.0721
26.3388,120.26
26.3714,177.228
26.40499,220.3708
26.44078,274.9323
26.47281,99.3608
26.50132,67.84751
26.53538,78.52122
26.56842,125.2951
26.60155,112.9445
26.63884,167.9005
26.67053,229.0077
26.70282,121.584
26.73958,78.90967
26.77053,81.4229
26.80294,132.6574
26.83796,127.2268
26.8699,96.51789
26.90276,134.206
26.93803,260.836
26.96973,186.7366
27.00594,148.2422
27.03784,91.83438
27.07455,150.6406
27.10723,113.578
27.13956,165.8025
27.17285,127.4918
27.20987,37.02695
27.24664,30.07097
27.27481,52.07119
27.30722,51.06414
27.34382,42.82276
27.3769,39.02425
27.40984,11.4436
27.44145,42.05273
27.47589,60.01765
27.5101,34.7178
27.54266,54.43129
27.57475,76.4036
27.60561,96.82645
27.64164,39.96179
27.68248,53.59887
27.71321,62.6973
27.74553,50.13755
27.7786,69.46018
27.81498,114.8857
27.85161,85.15158
27.88772,38.58389
27.92303,31.56579
27.95574,103.5422
27.99127,152.7097
28.02349,208.8846
28.05737,194.1138
28.09699,135.3463
28.13317,136.3306
28.1666,42.19825
28.20274,11.18591
28.2343,102.128
28.27094,59.27003
28.30219,53.70879
28.33631,70.07421
28.37381,55.18787
28.40851,141.9952
28.44334,78.39331
28.47598,77.94982
28.50702,55.37736
28.54278,31.52434
28.57542,38.71898
28.60766,33.81439
28.6448,27.66095
28.68133,201.1623
28.7176,161.7404
28.75395,119.8005
28.78699,216.3858
28.82379,117.6802
28.85563,140.9554
28.89225,193.0412
28.92945,171.7383
28.96253,140.7887
28.9934,378.7472
29.02974,548.5165
29.06944,312.8409
29.1011,205.2912
29.13561,190.8979
29.1678,74.41132
29.2042,200.4533
29.2398,161.3398
29.2711,57.13006
29.30401,191.1656
29.33537,231.7193
29.37317,72.53716
29.41226,16.57559
29.43576,431.1669
29.46571,478.3826
29.50081,375.9915
29.53559,257.458
29.56742,264.8614
29.59895,148.4913
29.63302,184.4948
29.67083,79.72626
29.70653,93.51336
29.73889,76.58952
29.77405,57.99986
29.80593,118.5944
29.83832,144.2958
29.87433,138.3054
29.90652,134.3712
29.94256,118.0731
29.97475,157.2578
30.01119,146.8094
30.0442,162.3923
30.07257,171.474
30.10747,110.8882
30.13877,88.48788
30.17914,44.76129
30.20917,5.555985
30.24521,12.59038
30.28287,27.2515
30.31682,27.11314
30.34847,33.14299
30.38434,88.57313
30.42119,116.4131
30.45752,96.24341
30.49264,141.5257
30.52907,110.9578
30.56418,109.3841
30.6007,113.368
30.63956,53.84803
30.67555,63.37156
30.70796,51.80569
30.73921,30.24289
30.77575,25.18173
30.80764,80.56466
30.84016,132.1263
30.87529,143.0071
30.90807,156.5671
30.93981,163.5528
30.97242,96.33855
31.00328,42.03504
31.03747,88.80116
31.06947,86.97736
31.10546,167.6743
31.13994,90.13824
31.17421,60.06581
31.20561,91.13441
31.24095,145.5176
31.27229,144.9997
31.30533,152.0944
31.34187,73.27763
31.37788,74.36253
31.40934,47.20615
31.44674,60.07956
31.47399,63.31224
31.51437,62.17201
31.54725,89.63073
31.58228,105.7582
31.62128,171.2464
31.65218,222.884
31.68781,128.7118
31.72385,137.1942
31.76057,27.65859
31.79515,182.0062
31.83125,297.814
31.8632,301.3533
31.89831,341.3767
31.93498,175.6322
31.96643,105.6708
32.00666,84.37828
32.03918,86.8259
32.07284,126.2591
32.10811,82.73473
32.14258,79.52397
32.17934,117.1324
32.21221,53.38177
32.24759,68.77028
32.28386,116.8494
32.32204,132.8003
32.35749,174.3215
32.38884,202.0404
32.42525,131.5609
32.45622,104.5383
32.4927,261.6778
32.52455,249.5907
32.55968,302.0526
32.59314,280.8907
32.62886,301.0739
32.66166,297.4226
32.69449,54.29136
32.72775,84.62804
32.76441,47.68089
32.79735,129.8143
32.82951,196.758
32.86618,186.1019
32.9001,222.9761
32.93433,147.5702
32.96725,117.9813
33.00491,70.43497
33.03578,20.12725
33.07166,18.91917
33.1031,46.90045
33.13842,53.81847
33.1701,68.97488
33.20757,57.47617
33.24017,46.81633
33.27766,49.83099
33.30667,55.74134
33.34044,51.13705
33.37212,41.64939
33.40817,49.7834
33.44075,89.44755
33.47304,94.30988
33.50572,95.18362
33.54052,83.61857
33.57271,13.52779
33.60425,13.30541
33.63622,86.97106
33.67592,59.95491
33.70316,146.5329
33.73832,145.0726
33.77385,67.68646
33.80141,101.5493
33.83807,65.5743
33.87136,57.49847
33.90858,58.22344
33.94096,52.32242
33.97607,19.14626
34.00878,143.3663
34.03928,201.5477
34.07605,199.0142
34.11053,149.4464
34.14229,133.75
34.1737,48.60021
34.21283,75.14536
34.24338,69.12791
34.275,132.7835
34.30706,78.19817
34.33808,33.97929
34.37318,77.21423
34.40851,67.68042
34.44217,60.8074
34.47645,32.61156
34.50868,107.5338
34.54519,408.5001
34.5776,864.8113
34.60938,836.6732
34.64179,815.507
34.67833,414.4075
34.71141,713.1223
34.74029,463.8819
34.77621,596.4739
34.80796,227.1186
34.84396,107.9437
34.87452,247.4192
34.90533,743.3983
34.94049,734.4107
34.97129,1661.766
35.00588,1088.617
35.03555,1110.127
35.06974,979.325
35.10814,320.6252
35.14338,207.5031
35.17265,96.60964
35.20769,47.58653
35.24284,37.33857
35.27786,36.43219
35.31174,14.11338
35.34487,15.45244
35.37855,3.080572
35.41132,142.7667
35.44733,105.156
35.48082,233.696
35.51473,324.9771
35.54501,100.4905
35.58156,88.21616
35.61609,60.05606
35.65132,53.42868
35.68231,26.19297
35.71792,0.0316429
35.75132,0.007154254
35.78216,0.006771415
